ClienteID,NomeCliente,Sexo,Idade,FaixaEtaria,Cidade,Estado,Regiao,DataCadastro
1,Cliente 0001,Masculino,35,35-44,Joinville,SC,Sul,2022-12-11
2,Cliente 0002,Feminino,50,45-54,Belo Horizonte,MG,Sudeste,2023-08-22
3,Cliente 0003,Feminino,42,35-44,São Paulo,SP,Sudeste,2023-10-08
4,Cliente 0004,Masculino,49,45-54,Belo Horizonte,MG,Sudeste,2023-12-08
5,Cliente 0005,Feminino,35,35-44,Rio de Janeiro,RJ,Sudeste,2024-02-29
6,Cliente 0006,Feminino,35,35-44,Santos,SP,Sudeste,2022-02-03
7,Cliente 0007,Feminino,44,35-44,Vitória,ES,Sudeste,2024-12-09
8,Cliente 0008,Feminino,70,55+,Caxias do Sul,RS,Sul,2023-07-08
9,Cliente 0009,Feminino,33,25-34,Rio de Janeiro,RJ,Sudeste,2024-12-24
10,Cliente 0010,Feminino,54,45-54,Recife,PE,Nordeste,2023-10-15
11,Cliente 0011,Feminino,51,45-54,São Paulo,SP,Sudeste,2024-06-30
12,Cliente 0012,Feminino,19,18-24,Santos,SP,Sudeste,2021-06-21
13,Cliente 0013,Masculino,31,25-34,Belém,PA,Norte,2023-01-23
14,Cliente 0014,Masculino,35,35-44,Rio de Janeiro,RJ,Sudeste,2022-11-05
15,Cliente 0015,Feminino,34,25-34,Belo Horizonte,MG,Sudeste,2021-06-08
16,Cliente 0016,Feminino,28,25-34,Niterói,RJ,Sudeste,2022-08-08
17,Cliente 0017,Masculino,58,55+,Campinas,SP,Sudeste,2024-06-14
18,Cliente 0018,Feminino,30,25-34,Curitiba,PR,Sul,2024-08-22
19,Cliente 0019,Masculino,32,25-34,Joinville,SC,Sul,2023-10-03
20,Cliente 0020,Feminino,53,45-54,Florianópolis,SC,Sul,2022-06-01
21,Cliente 0021,Masculino,49,45-54,Santos,SP,Sudeste,2021-05-08
22,Cliente 0022,Feminino,26,25-34,Santos,SP,Sudeste,2021-03-21
23,Cliente 0023,Feminino,21,18-24,Manaus,AM,Norte,2022-07-10
24,Cliente 0024,Masculino,36,35-44,Santos,SP,Sudeste,2023-08-23
25,Cliente 0025,Masculino,44,35-44,João Pessoa,PB,Nordeste,2023-11-15
26,Cliente 0026,Feminino,28,25-34,Florianópolis,SC,Sul,2023-06-16
27,Cliente 0027,Feminino,33,25-34,Natal,RN,Nordeste,2023-04-25
28,Cliente 0028,Feminino,25,25-34,Campinas,SP,Sudeste,2022-11-30
29,Cliente 0029,Masculino,28,25-34,Niterói,RJ,Sudeste,2022-04-28
30,Cliente 0030,Feminino,30,25-34,Florianópolis,SC,Sul,2023-08-24
31,Cliente 0031,Feminino,44,35-44,São Paulo,SP,Sudeste,2023-09-15
32,Cliente 0032,Masculino,39,35-44,Joinville,SC,Sul,2024-12-14
33,Cliente 0033,Feminino,39,35-44,Cuiabá,MT,Centro-Oeste,2021-09-28
34,Cliente 0034,Masculino,38,35-44,Goiânia,GO,Centro-Oeste,2021-12-25
35,Cliente 0035,Feminino,33,25-34,Niterói,RJ,Sudeste,2021-09-17
36,Cliente 0036,Masculino,47,45-54,Caxias do Sul,RS,Sul,2022-08-29
37,Cliente 0037,Feminino,59,55+,Fortaleza,CE,Nordeste,2024-02-15
38,Cliente 0038,Masculino,51,45-54,Goiânia,GO,Centro-Oeste,2023-02-11
39,Cliente 0039,Feminino,47,45-54,Santos,SP,Sudeste,2024-01-23
40,Cliente 0040,Feminino,26,25-34,Vitória,ES,Sudeste,2025-02-15
41,Cliente 0041,Masculino,51,45-54,Niterói,RJ,Sudeste,2023-07-22
42,Cliente 0042,Feminino,37,35-44,Vitória,ES,Sudeste,2024-08-04
43,Cliente 0043,Masculino,54,45-54,Santos,SP,Sudeste,2023-12-02
44,Cliente 0044,Feminino,41,35-44,Campinas,SP,Sudeste,2021-01-12
45,Cliente 0045,Feminino,43,35-44,São Paulo,SP,Sudeste,2024-07-11
46,Cliente 0046,Masculino,43,35-44,Santos,SP,Sudeste,2021-10-16
47,Cliente 0047,Feminino,43,35-44,Belo Horizonte,MG,Sudeste,2023-07-11
48,Cliente 0048,Feminino,42,35-44,Joinville,SC,Sul,2022-02-10
49,Cliente 0049,Masculino,27,25-34,Cuiabá,MT,Centro-Oeste,2025-04-21
50,Cliente 0050,Feminino,46,45-54,Recife,PE,Nordeste,2021-07-29
51,Cliente 0051,Masculino,65,55+,Natal,RN,Nordeste,2022-07-10
52,Cliente 0052,Feminino,18,18-24,Campinas,SP,Sudeste,2023-07-14
53,Cliente 0053,Feminino,40,35-44,Santos,SP,Sudeste,2024-03-27
54,Cliente 0054,Masculino,36,35-44,Santos,SP,Sudeste,2024-11-06
55,Cliente 0055,Feminino,27,25-34,Campinas,SP,Sudeste,2023-02-23
56,Cliente 0056,Masculino,46,45-54,Palmas,TO,Norte,2023-09-22
57,Cliente 0057,Feminino,33,25-34,São Paulo,SP,Sudeste,2023-08-25
58,Cliente 0058,Feminino,52,45-54,Recife,PE,Nordeste,2024-11-18
59,Cliente 0059,Não informado,41,35-44,Santos,SP,Sudeste,2022-02-27
60,Cliente 0060,Feminino,32,25-34,Belém,PA,Norte,2025-06-24
61,Cliente 0061,Feminino,49,45-54,Santos,SP,Sudeste,2022-04-21
62,Cliente 0062,Feminino,50,45-54,Belo Horizonte,MG,Sudeste,2024-10-28
63,Cliente 0063,Masculino,27,25-34,Natal,RN,Nordeste,2021-12-23
64,Cliente 0064,Feminino,41,35-44,Vitória,ES,Sudeste,2022-09-25
65,Cliente 0065,Masculino,24,18-24,Londrina,PR,Sul,2024-07-06
66,Cliente 0066,Não informado,38,35-44,Salvador,BA,Nordeste,2024-09-24
67,Cliente 0067,Feminino,50,45-54,Rio de Janeiro,RJ,Sudeste,2024-08-29
68,Cliente 0068,Feminino,48,45-54,Campo Grande,MS,Centro-Oeste,2022-07-07
69,Cliente 0069,Feminino,60,55+,Santos,SP,Sudeste,2021-02-22
70,Cliente 0070,Feminino,57,55+,Recife,PE,Nordeste,2025-05-23
71,Cliente 0071,Masculino,45,45-54,Niterói,RJ,Sudeste,2024-02-14
72,Cliente 0072,Feminino,34,25-34,Belém,PA,Norte,2024-09-02
73,Cliente 0073,Masculino,60,55+,João Pessoa,PB,Nordeste,2022-12-14
74,Cliente 0074,Masculino,25,25-34,Joinville,SC,SUL,2021-09-16
75,Cliente 0075,Masculino,52,45-54,Salvador,BA,Nordeste,2022-12-06
76,Cliente 0076,Feminino,44,35-44,Campo Grande,MS,Centro-Oeste,2021-11-12
77,Cliente 0077,Feminino,24,18-24,Campinas,SP,Sudeste,2021-04-25
78,Cliente 0078,Masculino,40,35-44,Salvador,BA,Nordeste,2022-06-25
79,Cliente 0079,Feminino,25,25-34,Palmas,TO,Norte,2021-11-11
80,Cliente 0080,Feminino,36,35-44,Goiânia,GO,Centro-Oeste,2024-05-03
81,Cliente 0081,Masculino,56,55+,João Pessoa,PB,Nordeste,2021-01-17
82,Cliente 0082,Masculino,26,25-34,Joinville,SC,Sul,2024-05-10
83,Cliente 0083,Feminino,40,35-44,Maceió,AL,Nordeste,2022-12-03
84,Cliente 0084,Masculino,59,55+,Campinas,SP,Sudeste,2022-07-18
85,Cliente 0085,Não informado,29,25-34,Cuiabá,MT,Centro-Oeste,2021-01-18
86,Cliente 0086,Feminino,49,45-54,João Pessoa,PB,Nordeste,2022-05-08
87,Cliente 0087,Masculino,31,25-34,Vitória,ES,Sudeste,2022-01-10
88,Cliente 0088,Feminino,29,25-34,Rio de Janeiro,RJ,sudeste ,2024-06-07
89,Cliente 0089,Feminino,25,25-34,Belo Horizonte,MG,Sudeste,2023-12-05
90,Cliente 0090,Feminino,18,18-24,Niterói,RJ,Sudeste,2022-03-17
91,Cliente 0091,Feminino,31,25-34,Palmas,TO,Norte,2021-04-20
92,Cliente 0092,Feminino,40,35-44,Belo Horizonte,MG,Sudeste,2021-08-07
93,Cliente 0093,Feminino,53,45-54,Florianópolis,SC,Sul,2022-07-29
94,Cliente 0094,Masculino,22,18-24,Campinas,SP,Sudeste,2023-05-08
95,Cliente 0095,Masculino,25,25-34,Rio de Janeiro,RJ,Sudeste,2022-05-08
96,Cliente 0096,Feminino,58,55+,Campinas,SP,Sudeste,2024-08-19
97,Cliente 0097,Feminino,33,25-34,Rio de Janeiro,RJ,Sudeste,2024-06-04
98,Cliente 0098,Feminino,68,55+,João Pessoa,PB,Nordeste,2024-08-18
99,Cliente 0099,Feminino,40,35-44,Caxias do Sul,RS,Sul,2021-05-23
100,Cliente 0100,Feminino,39,35-44,Santos,SP,Sudeste,2021-09-29
101,Cliente 0101,Masculino,37,35-44,Caxias do Sul,RS,Sul,2021-02-27
102,Cliente 0102,Feminino,38,35-44,Londrina,PR,Sul,2021-12-13
