ProdutoID,Produto,Categoria,Subcategoria,Marca,PrecoBase,CustoBase
1,Smartphone 01,Eletrônicos,Smartphone,SmartOne,5524.22,4457.18
2,Smartphone 02,Eletrônicos,Smartphone,NovaTech,382.17,312.06
3,Tablet 03,Eletrônicos,Tablet,SmartOne,4225.6,3316.55
4,Tablet 04,Eletrônicos,Tablet,NovaTech,5389.51,4055.38
5,Smart TV 05,Eletrônicos,Smart TV,VisionX,600.93,488.6
6,Smart TV 06,Eletrônicos,Smart TV,Lumina,2213.31,1742.52
7,Câmera 07,Eletrônicos,Câmera,PixelPro,803.16,628.89
8,Console 08,Eletrônicos,Console,GameBox,3852.88,2852.78
9,Smartwatch 09,Eletrônicos,Smartwatch,Pulse,1412.99,1053.95
10,Caixa de Som 10,Eletrônicos,Caixa de Som,Sonic,1698.2,1304.63
11,Fone Bluetooth 11,Eletrônicos,Fone Bluetooth,Sonic,3074.87,2481.96
12,Projetor 12,Eletrônicos,Projetor,VisionX,3241.92,2588.67
13,E-reader 13,Eletrônicos,E-reader,Readly,849.79,668.74
14,Drone 14,Eletrônicos,Drone,SkyCam,1148.7,914.43
15,Soundbar 15,Eletrônicos,Soundbar,Sonic,745.4,591.72
16,Monitor Gamer 16,Eletrônicos,Monitor Gamer,PixelPro,3662.43,2726.36
17,TV OLED 17,Eletrônicos,TV OLED,Lumina,665.68,516.54
18,Câmera de Ação 18,Eletrônicos,Câmera de Ação,SkyCam,1371.97,1080.12
19,Home Theater 19,Eletrônicos,Home Theater,Sonic,4692.98,3544.56
20,Roteador Mesh 20,Eletrônicos,Roteador Mesh,NetWave,428.57,319.07
21,Notebook 01,INFORMÁTICA,Notebook,TechPlus,293.38,222.47
22,Notebook Gamer 02,Informática,Notebook Gamer,TechPlus,745.79,538.61
23,Desktop 03,Informática,Desktop,ByteWorks,105.2,77.94
24,Monitor 04,Informática,Monitor,PixelPro,208.55,156.19
25,Teclado 05,Informática,Teclado,KeyLab,332.32,235.79
26,Mouse 06,Informática,Mouse,KeyLab,771.77,563.65
27,SSD 07,Informática,SSD,ByteWorks,613.98,457.48
28,HD Externo 08,Informática,HD Externo,ByteWorks,109.63,78.34
29,Memória RAM 09,Informática,Memória RAM,ByteWorks,1313.1,1002.89
30,Webcam 10,Informática,Webcam,VisionX,5486.56,3938.81
