Data,LojaID,MetaReceita,MetaLucro
2024-01-01,1,69609.61,13225.83
2024-02-01,1,97265.18,18480.39
2024-03-01,1,84000.10,15960.02
2024-04-01,1,77611.12,14746.11
2024-05-01,1,82694.64,15711.98
2024-06-01,1,80535.39,15301.72
2024-07-01,1,54017.07,10263.24
2024-08-01,1,92820.29,17635.86
2024-09-01,1,119772.30,22756.74
2024-10-01,1,112896.79,21450.39
2024-11-01,1,173031.72,32876.03
2024-12-01,1,126100.94,23959.18
2025-01-01,1,83057.71,15780.96
2025-02-01,1,109297.66,20766.56
2025-03-01,1,100930.74,19176.84
2025-04-01,1,83818.34,15925.48
2025-05-01,1,90706.76,17234.29
2025-06-01,1,97110.36,18450.97
2025-07-01,1,59406.19,11287.18
2025-08-01,1,103149.43,19598.39
2025-09-01,1,133729.12,25408.53
2025-10-01,1,129277.36,24562.70
2025-11-01,1,193325.24,36731.80
2025-12-01,1,148825.75,28276.89
2024-01-01,2,39261.23,7459.63
2024-02-01,2,66649.17,12663.34
2024-03-01,2,76396.97,14515.42
2024-04-01,2,59603.22,11324.61
2024-05-01,2,81681.12,15519.41
2024-06-01,2,58831.92,11178.07
2024-07-01,2,46470.72,8829.44
2024-08-01,2,45844.86,8710.52
2024-09-01,2,112462.09,21367.80
2024-10-01,2,100908.89,19172.69
2024-11-01,2,90993.24,17288.71
2024-12-01,2,125220.69,23791.93
2025-01-01,2,44780.13,8508.23
2025-02-01,2,77735.31,14769.71
2025-03-01,2,81209.28,15429.76
2025-04-01,2,65780.91,12498.37
2025-05-01,2,89081.12,16925.41
2025-06-01,2,66587.59,12651.64
2025-07-01,2,53015.30,10072.91
2025-08-01,2,53539.24,10172.46
2025-09-01,2,126990.26,24128.15
2025-10-01,2,118479.57,22511.12
2025-11-01,2,97066.01,18442.54
2025-12-01,2,140144.11,26627.38
2024-01-01,3,98064.35,18632.23
2024-02-01,3,82069.47,15593.20
2024-03-01,3,49383.35,9382.84
2024-04-01,3,143372.70,27240.81
2024-05-01,3,49475.62,9400.37
2024-06-01,3,71390.36,13564.17
2024-07-01,3,79464.11,15098.18
2024-08-01,3,139681.00,26539.39
2024-09-01,3,121965.28,23173.40
2024-10-01,3,80517.35,15298.30
2024-11-01,3,136439.13,25923.43
2024-12-01,3,159002.39,30210.45
2025-01-01,3,104891.80,19929.44
2025-02-01,3,87493.35,16623.74
2025-03-01,3,56540.21,10742.64
2025-04-01,3,152083.02,28895.77
2025-05-01,3,53243.18,10116.20
2025-06-01,3,77263.64,14680.09
2025-07-01,3,85438.23,16233.26
2025-08-01,3,148025.41,28124.83
2025-09-01,3,137151.98,26058.88
2025-10-01,3,91815.97,17445.03
2025-11-01,3,158659.78,30145.36
2025-12-01,3,181730.74,34528.84
2024-01-01,4,58821.28,11176.04
2024-02-01,4,36691.63,6971.41
2024-03-01,4,52967.90,10063.90
2024-04-01,4,64075.45,12174.34
2024-05-01,4,101524.62,19289.68
2024-06-01,4,75141.70,14276.92
2024-07-01,4,62126.49,11804.03
2024-08-01,4,64507.85,12256.49
2024-09-01,4,46462.81,8827.93
2024-10-01,4,96136.54,18265.94
2024-11-01,4,96699.23,18372.85
2024-12-01,4,133333.07,25333.28
2025-01-01,4,64128.80,12184.47
2025-02-01,4,39601.37,7524.26
2025-03-01,4,57726.15,10967.97
