VendaID,PedidoID,Data,ClienteID,ProdutoID,LojaID,CanalID,Quantidade,PrecoUnitario,CustoUnitario,Desconto
3642,PED-2024-002057,2024-08-19,201,86,1,1,3,470.39,269.84,0.10
3395,PED-2024-001928,2024-07-08,670,8,3,2,1,3781.49,2901.19,0.00
13665,PED-2025-007683,2025-11-17,938,26,7,1,1,803.72,577.30,0.00
7717,PED-2025-004343,2025-02-23,687,30,2,2,1,5670.52,3998.04,0.20
4308,PED-2024-002436,2024-09-29,519,96,1,2,1,425.22,232.78,0.00
5662,PED-2024-003201,2024-11-26,586,22,12,1,4,718.52,531.91,0.00
4112,PED-2024-002320,2024-08-14,2433,63,3,2,1,1644.88,1278.92,0.05
3438,PED-2024-001955,2024-07-30,23,14,12,3,1,1123.42,897.61,0.10
10983,PED-2025-006169,2025-07-10,1860,2,2,2,3,404.78,331.67,0.00
7208,PED-2025-004059,2025-01-24,48,110,7,3,2,395.53,283.07,0.05
8814,PED-2025-004949,2025-04-11,756,17,10,2,1,679.53,546.39,0.05
1444,PED-2024-000820,2024-04-20,226,16,5,1,1,3602.60,2769.51,0.00
13317,PED-2025-007494,2025-10-13,416,7,3,4,1,839.96,640.48,0.05
1097,PED-2024-000626,2024-03-16,826,13,2,3,2,828.22,666.68,0.10
9143,PED-2025-005133,2025-04-21,1599,50,1,1,2,844.50,584.83,0.00
10859,PED-2025-006099,2025-07-26,1490,88,8,3,1,40.45,20.04,0.05
8055,PED-2025-004528,2025-02-15,1315,83,2,1,1,95.11,50.54,0.10
7763,PED-2025-004370,2025-02-07,921,87,2,4,3,61.07,32.21,0.20
2690,PED-2024-001526,2024-06-04,1755,83,11,1,1,90.12,49.05,0.00
12019,PED-2025-006752,2025-09-06,202,63,9,1,1,1572.79,1333.87,0.00
2296,PED-2024-001304,2024-05-17,805,29,11,4,1,1328.00,1014.65,0.00
4585,PED-2024-002593,2024-09-19,2099,98,6,3,2,29.40,16.02,0.10
119,PED-2024-000069,2024-01-04,2,85,2,1,3,29.77,15.04,0.00
12128,PED-2025-006813,2025-09-14,502,56,4,2,1,224.00,158.25,0.05
8911,PED-2025-005005,2025-04-23,2205,37,6,1,2,91.61,67.89,0.10
683,PED-2024-000392,2024-02-05,951,2,1,4,1,400.23,314.11,0.05
15312,PED-2025-008602,2025-12-25,1528,95,6,3,1,231.65,131.56,0.05
4043,PED-2024-002283,2024-08-15,1737,66,11,1,1,1473.12,1181.22,0.20
13653,PED-2025-007677,2025-11-09,2024,39,1,3,1,5402.84,4015.03,0.10
4192,PED-2024-002366,2024-09-20,1737,96,11,4,5,395.64,236.54,0.05
8109,PED-2025-004558,2025-02-03,373,40,8,4,1,174.45,125.75,0.10
292,PED-2024-000169,2024-01-16,456,32,3,3,2,1889.59,1445.69,0.00
14242,PED-2025-008005,2025-11-06,304,120,9,2,1,1130.11,799.70,0.05
2504,PED-2024-001426,2024-06-22,2423,35,7,1,4,546.22,414.01,0.10
4560,PED-2024-002580,2024-09-05,1023,79,7,2,1,4418.77,3700.86,0.05
1269,PED-2024-000722,2024-03-31,2024,35,5,1,1,545.93,406.34,0.05
5571,PED-2024-003150,2024-11-25,2140,4,12,1,1,5646.97,4010.75,0.00
9405,PED-2025-005285,2025-05-18,1908,84,12,2,3,215.62,114.22,0.00
1435,PED-2024-000815,2024-04-30,626,45,5,4,1,146.15,98.15,0.00
8378,PED-2025-004701,2025-03-03,1161,84,10,2,2,203.44,112.74,0.05
13705,PED-2025-007706,2025-11-28,1163,35,12,1,1,581.32,422.40,0.05
9785,PED-2025-005503,2025-05-19,1207,91,2,1,1,177.09,102.51,0.00
6657,PED-2024-003749,2024-12-04,418,52,6,3,2,1408.97,920.34,0.00
12540,PED-2025-007041,2025-09-23,1800,13,2,3,1,858.63,701.95,0.05
10514,PED-2025-005908,2025-06-28,69,25,3,1,2,335.33,239.37,0.00
10724,PED-2025-006020,2025-07-22,99,80,9,2,1,2488.26,2115.70,0.00
8333,PED-2025-004675,2025-03-16,642,117,6,1,4,135.90,95.79,0.00
7307,PED-2025-004114,2025-01-14,2025,66,2,2,1,1621.68,1201.67,0.00
14463,PED-2025-008120,2025-12-09,2325,5,3,1,1,644.56,501.45,0.10
10383,PED-2025-005838,2025-06-03,2088,22,1,3,1,755.24,569.07,0.20
2645,PED-2024-001498,2024-06-03,1199,1,1,3,1,5689.44,4532.60,0.00
12316,PED-2025-006915,2025-09-01,2342,91,2,2,1,181.80,106.43,0.10
6671,PED-2024-003761,2024-12-22,1203,30,8,2,2,5323.09,3880.91,0.05
4147,PED-2024-002339,2024-09-03,1325,86,12,2,2,442.51,269.12,0.10
561,PED-2024-000325,2024-02-24,2494,79,4,1,1,4437.11,3746.43,0.05
12369,PED-2025-006946,2025-09-08,496,43,4,4,1,63.83,44.76,0.00
1762,PED-2024-000998,2024-04-20,475,85,3,2,3,29.64,14.71,0.10
14440,PED-2025-008108,2025-12-21,1469,71,5,1,1,981.37,783.20,0.15
9068,PED-2025-005089,2025-04-14,291,2,6,4,1,394.48,332.12,0.00
9821,PED-2025-005519,2025-05-22,198,88,6,4,4,40.70,19.88,0.00
3475,PED-2024-001972,2024-07-28,2005,73,10,3,1,2657.08,2111.46,0.05
7556,PED-2025-004255,2025-01-22,2318,28,1,3,1,110.14,82.03,0.00
3881,PED-2024-002188,2024-08-12,1367,5,5,2,1,601.16,490.78,0.10
11220,PED-2025-006308,2025-07-09,535,19,4,3,2,4918.21,3668.89,0.10
